Date,ASELS.IS,SISE.IS,TUPRS.IS
2021-11-12,8.515191078186035,8.924164772033691,14.913717269897461
2021-11-15,8.838923454284668,9.278890609741211,14.750777244567871
2021-11-16,8.740822792053223,9.297560691833496,14.750777244567871
2021-11-17,8.883070945739746,9.726966857910156,15.162917137145996
2021-11-18,9.143037796020508,10.371074676513672,15.124577522277832
2021-11-19,9.279426574707031,10.501763343811035,14.865792274475098
2021-11-22,9.249715805053711,10.464424133300781,15.153332710266113
2021-11-23,9.55176830291748,11.155206680297852,16.188472747802734
2021-11-24,10.398504257202148,11.192545890808105,15.325855255126953
2021-11-25,10.537149429321289,11.127202033996582,15.047901153564453
2021-11-26,10.240050315856934,11.14587116241455,14.281128883361816
2021-11-29,11.260092735290527,11.4725923538208,14.894547462463379
2021-11-30,10.76492691040039,11.715301513671875,14.539917945861816
2021-12-01,10.814443588256836,12.107366561889648,15.067070960998535
2021-12-02,10.84415340423584,12.434086799621582,14.952054023742676
2021-12-03,10.873863220214844,12.368743896484375,14.856206893920898
2021-12-06,11.161060333251953,12.452756881713867,15.047901153564453
2021-12-07,11.428450584411621,13.694299697875977,15.65173625946045
2021-12-08,11.83448600769043,13.899666786193848,15.690070152282715
2021-12-09,12.398978233337402,14.37574577331543,15.795503616333008
2021-12-10,12.131587982177734,14.73980712890625,16.581445693969727
2021-12-13,12.755497932434082,15.0665283203125,18.07665252685547
2021-12-14,12.96346664428711,15.486600875854492,18.325851440429688
2021-12-15,12.63665771484375,15.150543212890625,18.555885314941406
2021-12-16,13.537860870361328,16.532108306884766,19.773134231567383
2021-12-17,12.191007614135742,14.879831314086914,17.88495635986328
2021-12-20,11.983036994934082,15.290566444396973,17.702850341796875
2021-12-21,10.784734725952148,13.768978118896484,15.939273834228516
2021-12-22,9.942949295043945,12.396748542785645,14.348221778869629
2021-12-23,9.819157600402832,12.03268814086914,13.696467399597168
2021-12-24,10.7055082321167,12.882163047790527,14.81787109375
2021-12-27,10.804539680480957,12.64879035949707,14.645345687866211
2021-12-28,10.477729797363281,12.518101692199707,14.338637351989746
2021-12-29,10.715410232543945,12.928836822509766,14.97122573852539
2021-12-30,10.457923889160156,12.574111938476562,14.626176834106445
2021-12-31,10.339082717895508,12.490097045898438,14.798699378967285
2022-01-03,10.794637680053711,12.938172340393066,15.939273834228516
2022-01-04,11.141253471374512,13.311568260192871,16.245981216430664
2022-01-05,11.398740768432617,13.451590538024902,17.146940231323242
2022-01-06,11.51758098602295,13.86232852935791,17.913711547851562
2022-01-07,11.61661434173584,13.871663093566895,17.913711547851562
2022-01-10,11.983036994934082,13.909002304077148,17.93288230895996
2022-01-11,11.884004592895508,13.778313636779785,17.952049255371094
2022-01-12,11.963231086730957,14.17971420288086,18.134159088134766
2022-01-13,12.032553672790527,14.049025535583496,18.124574661254883
2022-01-14,11.953326225280762,14.067694664001465,17.88495635986328
2022-01-17,11.992939949035645,13.927671432495117,18.124574661254883
2022-01-18,11.289803504943848,13.236888885498047,17.137357711791992
2022-01-19,11.497773170471191,13.274230003356934,17.90412712097168
2022-01-20,11.161060333251953,12.872828483581543,17.290708541870117
2022-01-21,11.042219161987305,12.994181632995605,17.17569351196289
2022-01-24,10.339082717895508,12.182045936584473,15.948858261108398
2022-01-25,10.477729797363281,12.471426963806152,16.10221290588379
2022-01-26,10.576763153076172,12.471426963806152,16.006366729736328
2022-01-27,11.042219161987305,12.891498565673828,16.504770278930664
2022-01-28,10.854057312011719,12.658125877380371,16.1693058013916
2022-01-31,10.69560432434082,12.882163047790527,16.40892219543457
2022-02-01,10.646086692810059,13.190214157104492,16.217227935791016
2022-02-02,10.52724552154541,12.994181632995605,16.245981216430664
2022-02-03,10.269760131835938,12.64879035949707,16.044706344604492
2022-02-04,10.160823822021484,12.499431610107422,15.862595558166504
2022-02-07,10.428213119506836,12.900832176208496,16.43767547607422
